,page,country,article_quality_est,Population
496,Azima Shukoor,Maldives,Stub,541000.0
497,Mohamed bin Hajj Ali Thukkala,Maldives,Stub,541000.0
498,Mahmood Razi,Maldives,Stub,541000.0
499,"List of members of the Løgting, 1998–2002",Faroese,Start,
500,Kumaraswamy Nandagopan,Sri Lanka,Stub,21937000.0
501,V. Sivayogan,Sri Lanka,Stub,21937000.0
502,P. Ariyaratnam,Sri Lanka,Stub,21937000.0
503,V. Edirmannasingham,Sri Lanka,Stub,21937000.0
504,K. Vignarajah,Sri Lanka,Stub,21937000.0
505,M. Manickam,Sri Lanka,Stub,21937000.0
506,S. R. P. Sraiva,Sri Lanka,Stub,21937000.0
507,Štefan Osuský,Slovakia,C,5462000.0
508,Elżbieta Branicka,Poland,Stub,38368000.0
509,S. Pasupathipillai,Sri Lanka,Stub,21937000.0
510,Ananda Kumarasiri,Sri Lanka,Stub,21937000.0
511,Manuel Martin (conquistador),Spain,Stub,47635000.0
512,Thein Tun,Myanmar,Stub,54704000.0
513,Khin Yi,Myanmar,Stub,54704000.0
514,Win Aung,Myanmar,Start,54704000.0
515,Sao Seng Suk,Myanmar,Stub,54704000.0
516,Maung Oo,Myanmar,Start,54704000.0
517,Nai Htaw Sorn,Myanmar,Start,54704000.0
518,Sein Myint,Myanmar,Stub,54704000.0
519,Khin Maung Thein,Myanmar,Stub,54704000.0
520,Kyaw Swa Khaing,Myanmar,Stub,54704000.0
521,Khin San Hlaing,Myanmar,Stub,54704000.0
522,Tin Hlaing,Myanmar,Stub,54704000.0
523,Thein Swe,Myanmar,Stub,54704000.0
524,Mohammad Temim,Morocco,Stub,35952000.0
525,Teodor Szybiłło,Poland,Stub,38368000.0
526,Prapat Panyachatraksa,Thailand,Stub,66534000.0
527,Suwat Liptapanlop,Thailand,C,66534000.0
528,Sutham Sangprathum,Thailand,Stub,66534000.0
529,Virachai Virameteekul,Thailand,Start,66534000.0
530,Theera Wongsamut,Thailand,Start,66534000.0
531,Kraisak Choonhavan,Thailand,Start,66534000.0
532,Chob Yodkaew,Thailand,Stub,66534000.0
533,Mönkhchuluuny Zorigt,Mongolia,Stub,3361000.0
534,Nyamjavyn Batbayar,Mongolia,Stub,3361000.0
535,Fritz Hofmann (politician),Switzerland,Stub,8634000.0
536,Andriy Veselovsky,Ukraine,Start,41778000.0
537,Ivan Maistrenko,Ukraine,Stub,41778000.0
538,Yury Lutovinov,Russia,Start,146733000.0
539,Ihor Kharchenko,Ukraine,Start,41778000.0
540,Mykola Hrabar,Ukraine,Stub,41778000.0
541,Emil Byk,Austria,Stub,8914000.0
542,Ihor Dushyn,Ukraine,Stub,41778000.0
543,Victor Său,Moldova,Stub,3535000.0
544,Vasiliy Pokotilo,Russia,Stub,146733000.0
545,Iuliana Gorea-Costin,Moldova,Start,3535000.0
546,Alexandru Codreanu,Moldova,Stub,3535000.0
547,Paweł Adamowicz,Poland,Stub,38368000.0
548,Ioan Străjescu,Romania,Stub,19241000.0
549,Alexandru Cantacuzino,Romania,Stub,19241000.0
550,Eugen Bejinariu,Romania,Stub,19241000.0
551,Juliusz Leo,Poland,Stub,38368000.0
552,Leo Goldhammer,Israel,Start,9216000.0
553,Ivan Tkachenko (politician),Moldova,Stub,3535000.0
554,Yevsey Gindes,Azerbaijan,Start,10108000.0
555,Pavel Parasca,Moldova,Start,3535000.0
556,Albin Dunajewski,Poland,Stub,38368000.0
557,Sospeter Machage,Kenya,Start,53528000.0
558,Franciszek Bajorek,Poland,Start,38368000.0
559,Mohamed Charfi,Tunisia,Stub,11896000.0
560,Don Ferguson (South Australian politician),Australia,Stub,25754000.0
561,Keith Plunkett,Australia,Stub,25754000.0
562,Kym Mayes,Australia,Stub,25754000.0
563,Max Brown (politician),Australia,Stub,25754000.0
564,Wyllys–Haynes family,United States,Start,329878000.0
565,Viktor Anpilov,Russia,Stub,146733000.0
566,Derek Nally,Ireland,Stub,5003000.0
567,Fiqirete Shehu,Albania,Stub,2838000.0
568,Fan Chuo (Tang dynasty),China,Start,1402385000.0
569,Óscar Moncada,Nicaragua,Stub,6596000.0
570,José Abel,Timor Leste,Stub,
571,Yahya Al-Mutawakel,Yemen,Stub,29826000.0
572,Óscar González (politician),Mexico,Stub,127792000.0
573,Rosebud Kurwijila,Tanzania,Stub,59734000.0
574,Constantin Angelescu,Romania,Stub,19241000.0
575,Ivan Marazov,Bulgaria,Stub,6927000.0
576,William Henry Dillon Bell,New Zealand,Stub,4987000.0
577,Ibrahim Ismail (politician),Maldives,C,541000.0
578,Choudry Mohammad Sadiq,Pakistan,Stub,220940000.0
579,William Lundström,Finland,Stub,5529000.0
580,Ivon Wardle,Australia,Stub,25754000.0
581,Alexandre-François Vivien,France,C,64940000.0
582,Andrea Törnestam,Sweden,Stub,10377000.0
583,Natisio Loluke,South Sudan,Stub,11194000.0
584,Teker Riek Dong,South Sudan,Stub,11194000.0
585,Sydney Innes-Noad,Australia,Stub,25754000.0
586,Joseph Beeston,Australia,Stub,25754000.0
587,John Hall (New South Wales politician),Australia,Stub,25754000.0
588,Tórbjørn Poulsen,Faroese,Stub,
589,Jacek Majchrowski,Poland,Start,38368000.0
590,Antão Martins Homem,Portugal,Start,10255000.0
591,Charles Chaumet,France,Stub,64940000.0
592,Albert Roussin,France,Stub,64940000.0
593,Léon Martin Fourichon,France,Stub,64940000.0
594,Louis Raymond de Montaignac de Chauvance,France,Stub,64940000.0
595,Fritz Heckert,Germany,Stub,83300000.0
596,Grand Empress Dowager Shangguan,China,C,1402385000.0
597,Zaharije Trnavčević,Serbia,Stub,6957000.0
598,Mohamed Kamel Leilah,Egypt,Stub,100803000.0
599,Aleksandr Zolotarev,Ukraine,Start,41778000.0
600,Timothy Ting,Taiwan,Start,23610000.0
601,Moinuddin Ahmed Chowdhury,Bangladesh,C,169809000.0
602,Dewan Farid Gazi,Bangladesh,Stub,169809000.0
603,Tawfik Tirawi,Palestinian Territory,Start,5008000.0
604,Léon de la Fontaine,Luxembourg,Start,632000.0
605,Mārtiņš Antons,Latvia,Stub,1902000.0
606,Aigars Prūsis,Latvia,Stub,1902000.0
607,Kumar Lingden,Nepal,Stub,29996000.0
608,Samuel R. Spencer,United States,Stub,329878000.0
609,Winston Jessurun,Suriname,Start,605000.0
610,Nikolay Goloded,Belarus,Stub,9375000.0
611,Alfred Edwin Winter,Australia,Stub,25754000.0
612,Minkailu Bah,Sierra Leone,Stub,7977000.0
613,Demmus Hentze,Faroese,Start,
614,Raimundo Colombo,Brazil,Stub,211812000.0
615,Khaled Dawoud,Egypt,Stub,100803000.0
616,Edgar V. Saks,Estonia,Start,1331000.0
617,Samuel Yaw Adusei,Ghana,Stub,31073000.0
618,List of Nigerien politicians,Niger,Stub,24189000.0
619,Zhao Xinchu,China,Stub,1402385000.0
620,Manuel Pérez (President of Nicaragua),Nicaragua,Stub,6596000.0
621,Tomas Bertelman,Sweden,Stub,10377000.0
622,U Thaung (politician),Myanmar,Stub,54704000.0
623,Chan Nyein,Myanmar,Stub,54704000.0
624,Barry Diawadou,Guinea,Stub,12560000.0
625,Antonio Mucci,Argentina,Stub,45377000.0
626,Bengt Jönsson (Oxenstierna),Sweden,Stub,10377000.0
627,Jacob Magnus Sprengtporten,Finland,Start,5529000.0
628,Johan Oxenstierna,Sweden,Start,10377000.0
629,Hikmat Mizban Ibrahim al-Azzawi,Iraq,Start,39725000.0
630,Axel Lille,Finland,Stub,5529000.0
631,Nils Jönsson (Oxenstierna),Sweden,Start,10377000.0
632,Mikhail Aleksandrovich Stakhovich,Russia,Stub,146733000.0
633,Bo Holmberg,Sweden,Stub,10377000.0
634,Lauri Kaijalainen,Finland,Stub,5529000.0
635,Hubert Gorbach,Austria,Stub,8914000.0
636,Sergei Ivanovich Tiulpanov,Russia,Start,146733000.0
637,Veit Ludwig von Seckendorff,Germany,Start,83300000.0
638,Giovanni Lonfernini,San Marino,Stub,34000.0
639,Mats Svegfors,Sweden,Stub,10377000.0
640,Lamine Sidimé,Guinea,Stub,12560000.0
641,Daniel Williams (governor-general),Grenada,Start,113000.0
642,Nemesi Marqués Oste,Spain,Stub,47635000.0
643,Guillermo Lora,Bolivia,Stub,11633000.0
644,Young Vivian,Niuean,Start,
645,Ahmed al-Barak,Iraq,Stub,39725000.0
646,Wael Abdul Latif,Iraq,Stub,39725000.0
647,Dara Nur al-Din,Iraq,Stub,39725000.0
648,Mufid Mohammad Jawad al-Jazairi,Iraq,Stub,39725000.0
649,Nuri Badran,Iraq,Stub,39725000.0
650,Abdel Amir Abbud Rahima,Iraq,Stub,39725000.0
651,Ali Faik al-Ghadban,Iraq,Stub,39725000.0
652,Khodayyir Abbas,Iraq,Stub,39725000.0
653,Hashim Abderrahman al-Shibli,Iraq,Start,39725000.0
654,Rashad Mandan Omar,Iraq,Stub,39725000.0
655,Sami Azara al-Majun,Iraq,Stub,39725000.0
656,Kamel al-Kilani,Iraq,Stub,39725000.0
657,Mohammad Jassem Khodayyir,Iraq,Stub,39725000.0
658,Carlos Durán Cartín,Costa Rica,Stub,5111000.0
659,Aniceto Esquivel Sáenz,Costa Rica,Stub,5111000.0
660,Tommy Funebo,Sweden,Stub,10377000.0
661,Garrett D. Kinney,United States,Stub,329878000.0
662,Manuel Isidoro Belzu,Bolivia,C,11633000.0
663,Noel Ahipeaud,Ivorian,Stub,
664,Juan José de Amézaga,Uruguay,Start,3531000.0
665,Francisco Javier Zaldúa,Colombia,C,49444000.0
666,John Willard (Australian politician),United Kingdom,Stub,67160000.0
667,Claude Lise,Martinique,Stub,356000.0
668,"Charles Louis Bernard de Cléron, comte d'Haussonville",France,Stub,64940000.0
669,Philippe Massoni,France,Stub,64940000.0
670,David John Rankin,Canada,Stub,38190000.0
671,Aleksander Arendt,Poland,Stub,38368000.0
672,Bernard Szczęsny,Poland,Stub,38368000.0
673,Szczepan Lewna,Poland,Stub,38368000.0
674,Miguel Cárdenas,Mexico,Stub,127792000.0
675,Mohamed Lemine Ch'bih Ould Cheikh Melainine,Mauritania,C,4650000.0
676,Gun Carlson,Finland,Stub,5529000.0
677,Roger Jansson,Finland,Stub,5529000.0
678,Muhammad Said al-Attar,Yemen,Stub,29826000.0
679,Hassan Muhammad Makki,Yemen,Stub,29826000.0
680,Kadhi Abdullah al-Hagri,Yemen,Stub,29826000.0
681,Alan Huckle,United Kingdom,Stub,67160000.0
682,Sergei Zubatov,Russia,Start,146733000.0
683,Olof Erland,Finland,Stub,5529000.0
684,Sune Eriksson,Finland,Stub,5529000.0
685,Fredrik Gyllenborg,Sweden,Stub,10377000.0
686,Bruno Erhard Abegg,Germany,Stub,83300000.0
687,Daniel Constantin (administrator),France,Stub,64940000.0
688,Gert Rudolph,South Africa,Start,59628000.0
689,Anton von Winzor,Austria,Stub,8914000.0
690,Francisco Lopes,Portugal,Stub,10255000.0
691,Alberto Oreamuno Flores,Costa Rica,Stub,5111000.0
692,Zhang Anshi,China,Stub,1402385000.0
693,Jacques Claude Beugnot,France,Start,64940000.0
694,Simon Jenko,Carniolan,Start,
695,Nzo Ekangaki,Cameroon,Start,26598000.0
696,Theodor Ab Yberg,Switzerland,Start,8634000.0
697,Park In-won,South Korea,Stub,
698,Manuel Montt,Chile,Start,19470000.0
699,José Antonio Mora,Uruguay,Stub,3531000.0
700,Faizanullah Faizan,Afghanistan,Stub,38928000.0
701,Francisco Romão,Angola,Stub,32522000.0
702,Ohannes Tchekidjian,Armenia,Start,2956000.0
703,Lagitupu Tuilimu,Tuvalu,Start,10000.0
704,Hans von Dellingshausen,Sweden,Stub,10377000.0
705,Cyryl Ratajski,Poland,Stub,38368000.0
706,Dragan Mikerević,Bosnia-Herzegovina,Stub,3281000.0
707,Émile Deschanel,France,Stub,64940000.0
708,Ragnar Arnalds,Iceland,Stub,368000.0
709,Sigurður Kári Kristjánsson,Iceland,Stub,368000.0
710,Guðjón Arnar Kristjánsson,Iceland,Stub,368000.0
711,Magnús Þór Hafsteinsson,Iceland,Stub,368000.0
712,Lars Herman Gyllenhaal,Sweden,Stub,10377000.0
713,Gregory Fortuin,New Zealand,Stub,4987000.0
714,Rogatien Biaou,Benin,Stub,12209000.0
715,Charles Saunders (administrator),South Africa,Start,59628000.0
716,Paul Southwell,Saint Kitts and Nevis,Start,
717,Zheng Chenggong,China,Stub,1402385000.0
718,Manuel Guillermo Pinto,Argentina,Stub,45377000.0
719,Mohlabi Tsekoa,Lesotho,Start,2142000.0
720,Jorge de Melo,Portugal,Stub,10255000.0
721,Giuseppe Arzilli,San Marino,Stub,34000.0
722,Roberto Raschi,San Marino,Stub,34000.0
723,Huo Guang,China,C,1402385000.0
724,Petrus Compton,Saint Lucian,Stub,
725,Ernest Ako,Ghana,Stub,31073000.0
726,Fritz Theilen,Germany,Stub,83300000.0
727,Juho Niukkanen,Finland,Stub,5529000.0
728,Alexander Creighton Arthur,New Zealand,Stub,4987000.0
729,Abebe Aregai,Ethiopia,B,114916000.0
730,Andriy Chornovil,Ukraine,Stub,41778000.0
731,Max Binder,Switzerland,Stub,8634000.0
732,Khin Htay Kywe,Myanmar,Stub,54704000.0
733,Myint Aung (MP),Myanmar,Stub,54704000.0
734,Paul-Marie Yembit,Gabon,Stub,2231000.0
735,Jacques Germeaux,Belgium,Stub,11515000.0
736,Anthony Daly (Whiteboy),Ireland,Stub,5003000.0
737,Santos Acosta,Colombia,Start,49444000.0
738,Constantin Dăscălescu,Romania,Stub,19241000.0
739,Gheorghe Pop de Băsești,Romania,Stub,19241000.0
740,Henry Ajomale,Nigeria,Stub,206140000.0
741,Robert Melville Smith,Canada,Stub,38190000.0
742,Kolapo Ishola,Nigeria,Start,206140000.0
743,Batarah Shah Tengah,Philippines,C,109581000.0
744,Sita Subedi,Nepal,Stub,29996000.0
745,Jan Malypetr,Czech Republic,Stub,
746,Víctor Olea Alegría,Chile,Stub,19470000.0
747,Kazimierz Krasiński,Poland,Stub,38368000.0
748,Théophile Aube,France,Stub,64940000.0
749,Jean Marie Antoine de Lanessan,France,Start,64940000.0
750,Stanisław Antoni Szczuka,Poland,Start,38368000.0
751,Karol Marcinkowski,Poland,Start,38368000.0
752,Louis-Lucien Klotz,France,Start,64940000.0
753,Mirosław Dzielski,Poland,Stub,38368000.0
754,Peter Tatár,Slovakia,Stub,5462000.0
755,Ali al-Haidari,Iraq,Stub,39725000.0
756,Myra Freeman,Canada,Start,38190000.0
757,Ewaryst Estkowski,Poland,Stub,38368000.0
758,Tytus Działyński,Poland,Start,38368000.0
759,Maksymilian Jackowski,Poland,Stub,38368000.0
760,Antoni Kraszewski,Poland,Stub,38368000.0
761,Ferdinand von Hansemann,Germany,Stub,83300000.0
762,Ludwik Mycielski,Poland,Stub,38368000.0
763,Andrzej Niegolewski,Poland,Stub,38368000.0
764,Władysław Niegolewski,Poland,Stub,38368000.0
765,Gustaw Potworowski,Poland,Stub,38368000.0
766,Piotr Wawrzyniak,Poland,Stub,38368000.0
767,Aniela Tułodziecka,Poland,Stub,38368000.0
768,Heinrich von Tiedemann,Germany,Stub,83300000.0
769,Roman Szymański,Poland,Stub,38368000.0
770,Florian Stablewski,Poland,Stub,38368000.0
771,Walenty Stefański,Poland,Stub,38368000.0
772,Karol Rzepecki,Poland,Stub,38368000.0
773,Edward Raczyński (1786–1845),Poland,Stub,38368000.0
774,Luis Eduardo Garzón,Colombia,Start,49444000.0
775,Lasse Wiklöf,Finland,Stub,5529000.0
776,Mōri Gorō,Japan,Stub,125967000.0
777,Magomed Omarov (politician),Russia,Start,146733000.0
778,Danilo Baroni,Argentina,Stub,45377000.0
779,Abdul Razak al-Hashimi,Iraq,Stub,39725000.0
780,Mario Monje,Bolivia,Stub,11633000.0
781,Thomas François Burgers,South Africa,C,59628000.0
782,Sam Brown (Rastafari),Jamaica,Start,2809000.0
783,Nehro Mohammed,Iraq,Stub,39725000.0
784,Zhou Jiannan,China,Stub,1402385000.0
785,Sten Wahlund,Sweden,Stub,10377000.0
786,Philip O. Emafo,Nigeria,Stub,206140000.0
787,Árni Sigfússon,Iceland,Stub,368000.0
788,Pierre Mazeaud,France,Start,64940000.0
789,Amangeldy Muraliyev,Kyrgyzstan,Stub,6594000.0
790,Thomas Nimely,Liberia,Stub,5058000.0
791,Céleo Arias,Honduras,Stub,9864000.0
792,Karl Zell,Germany,Start,83300000.0
793,Pierre Muller,Switzerland,Stub,8634000.0
794,Jules Develle,France,Stub,64940000.0
795,Ferenc Münnich,Hungary,Start,9767000.0
796,Antal Dovcsák,Hungary,Stub,9767000.0
797,Irina Krohn,Finland,Stub,5529000.0
798,Oscar Alende,Argentina,Start,45377000.0
799,"Pedro de Alcántara Álvarez de Toledo, 13th Marquis of Villafranca",Spain,Stub,47635000.0
800,Uriel Yitzhaki,Israel,Stub,9216000.0
801,Mikhail Lapshin,Russia,Stub,146733000.0
802,Carl Edvard Rotwitt,Denmark,Stub,5829000.0
803,Christian Emil Krag-Juel-Vind-Frijs,Denmark,Stub,5829000.0
804,Ludvig Holstein-Holsteinborg,Denmark,Stub,5829000.0
805,Christen Andreas Fonnesbech,Denmark,Stub,5829000.0
806,Josefa Dimuri,Fiji,Start,896000.0
807,Tage Reedtz-Thott,Denmark,Stub,5829000.0
808,Hugo Egmont Hørring,Denmark,Stub,5829000.0
809,Johan Henrik Deuntzer,Denmark,Stub,5829000.0
810,James Ah Koy,Samoan,B,
811,Frode Sørensen (politician),Denmark,Stub,5829000.0
812,Pyotr Krasikov,Russia,Stub,146733000.0
813,Christian Ulrik Gyldenløve,Denmark,Stub,5829000.0
814,Zaur Ardzinba,Abkhazia,Start,
815,Israel Pinheiro da Silva,Brazil,Stub,211812000.0
816,Germán Riesco,Chile,C,19470000.0
817,Władysław Stanisław Zamoyski,Poland,Stub,38368000.0
818,Roman Sołtyk,Poland,Stub,38368000.0
819,Muhammed Ibrahim al-Juraissey,Iraq,Stub,39725000.0
820,Peter Friederich,Switzerland,Stub,8634000.0
821,Augusto Farias,Brazil,Stub,211812000.0
822,George Durant,United Kingdom,Start,67160000.0
823,Antoni Jan Ostrowski,Poland,Start,38368000.0
824,Franciszek Ksawery Godebski,Poland,Stub,38368000.0
825,Jakov Nenadović,Serbia,Start,6957000.0
826,Šahbaz Džihanović,Bosnia-Herzegovina,Stub,3281000.0
827,Emanuel Moravec,Czech Republic,Start,
828,Salih Usar,Cyprus,Stub,1207000.0
829,Silvije Degen,Croatia,Stub,4020000.0
830,Joan Coxsedge,Australia,Stub,25754000.0
831,Anatoly Bykov,Russia,Stub,146733000.0
832,Juan Luis Sanfuentes,Chile,Start,19470000.0
833,Roberto Lavagna,Argentina,C,45377000.0
834,António Pinto Soares,Costa Rica,Start,5111000.0
835,Vicente Lucio Salazar,Ecuador,Stub,17511000.0
836,Husein Hasanally Abdoolcader,Malaysia,Stub,32781000.0
837,Osman Ertuğ,Cyprus,Stub,1207000.0
838,Eşref Vaiz,Cyprus,Stub,1207000.0
839,Hüseyin Öztoprak,Cyprus,Stub,1207000.0
840,Alexander Filatov,Russia,Stub,146733000.0
841,Ginés González García,Argentina,Start,45377000.0
842,Birger Brosa,Sweden,Start,10377000.0
843,Niko Nawaikula,Fiji,Start,896000.0
844,Charles Bellringer,New Zealand,Stub,4987000.0
845,Va'aelua Eti Alesana,Samoan,Start,
846,Sidibe Korian Sidibe,Mali,Stub,20251000.0
847,Germán Ignacio Riesco,Chile,Stub,19470000.0
848,Max Maurenbrecher,Germany,Start,83300000.0
849,Patrick Raphael,South Sudan,Stub,11194000.0
850,Montserrat Gibert,Spain,Stub,47635000.0
851,Evelyn Shannon,Canada,Stub,38190000.0
852,Injimo Managreve,Fiji,Stub,896000.0
853,Ihab el-Sherif,Egypt,Start,100803000.0
854,Tomasz Sołtyk,Poland,Stub,38368000.0
855,Ricardo Arias,Panama,Stub,4283000.0
856,José Ramón Guizado,Panama,Stub,4283000.0
857,Domingo Díaz Arosemena,Panama,Stub,4283000.0
858,Enrique Adolfo Jiménez,Panama,Start,4283000.0
859,Ezequiel Fernández,Panama,Stub,4283000.0
860,Ernesto Tisdel Lefevre,Panama,Stub,4283000.0
861,Pedro Antonio Díaz,Panama,Stub,4283000.0
862,Ciro Luis Urriola,Panama,Stub,4283000.0
863,Pablo Arosemena,Panama,Stub,4283000.0
864,Uguccione della Faggiuola,Italy,Stub,60296000.0
865,Fredrik Ström,Sweden,Start,10377000.0
866,Rudolf Brestel,Austria,Stub,8914000.0
867,Kazimierz Kierzkowski,Poland,Stub,38368000.0
868,Luis López de Mesa,Colombia,Stub,49444000.0
869,Gerardo Molina,Colombia,Stub,49444000.0
870,Torstein Dahle,Norway,Start,5387000.0
871,Steinunn Valdís Óskarsdóttir,Iceland,Stub,368000.0
872,Antonio Berti (senator),Italy,Stub,60296000.0
873,Božidar Adžija,Croatia,Stub,4020000.0
874,Juan Francisco de Molina,Honduras,Stub,9864000.0
875,Felipe Neri Medina,Honduras,Stub,9864000.0
876,Mariano Garrigó,Honduras,Stub,9864000.0
877,José María Bustillo (Honduran),Honduras,Stub,9864000.0
878,Francisco Gómez (acting president),Honduras,Stub,9864000.0
879,Salvador Aguirre (Honduras),Honduras,Stub,9864000.0
880,Francisco Bográn,Honduras,Stub,9864000.0
881,Evaristo Rocha,Nicaragua,Stub,6596000.0
882,Joaquín del Cosío,Nicaragua,Stub,6596000.0
883,Tomás Valladares,Nicaragua,Stub,6596000.0
884,Juan de Dios Orozco,Nicaragua,Stub,6596000.0
885,Silvestre Selva,Nicaragua,Stub,6596000.0
886,José León Sandoval,Nicaragua,Stub,6596000.0
887,Toribio Terán,Nicaragua,Stub,6596000.0
888,Benito Rosales,Nicaragua,Stub,6596000.0
889,Norberto Ramírez,Nicaragua,Stub,6596000.0
890,Justo Abaunza,Nicaragua,Stub,6596000.0
891,Laureano Pineda,Nicaragua,Stub,6596000.0
892,José de Jesús Alfaro,Nicaragua,Stub,6596000.0
893,Fruto Chamorro,Nicaragua,Start,6596000.0
894,Tomás Martínez,Nicaragua,Stub,6596000.0
895,Fernando Guzmán Solórzano,Nicaragua,Stub,6596000.0
896,Pedro Joaquín Chamorro Alfaro,Nicaragua,Start,6596000.0
897,Joaquín Zavala,Nicaragua,Stub,6596000.0
898,Evaristo Carazo,Nicaragua,Stub,6596000.0
899,Nicolás Osorno,Nicaragua,Stub,6596000.0
900,Salvador Machado,Nicaragua,Stub,6596000.0
901,Manuel Vizcarra,Mexico,Stub,127792000.0
902,Fermín Palacios,El Salvador,Stub,6481000.0
903,Eugenio Aguilar,El Salvador,Stub,6481000.0
904,Tomás Medina,El Salvador,Stub,6481000.0
905,Ramón Rodríguez (Salvadoran politician),El Salvador,Stub,6481000.0
906,Vicente Gómez,El Salvador,Stub,6481000.0
907,Lorenzo Zepeda,El Salvador,Stub,6481000.0
908,José María Peralta,El Salvador,Stub,6481000.0
909,Francisco Menéndez,El Salvador,Stub,6481000.0
910,Pedro José Escalón,El Salvador,Stub,6481000.0
911,Fernando Figueroa,El Salvador,Stub,6481000.0
912,Carlos Meléndez (politician),El Salvador,Stub,6481000.0
913,Ognjen Prica,Croatia,Start,4020000.0
914,Otokar Keršovani,Croatia,Start,4020000.0
915,Rafael Carvajal,Ecuador,Stub,17511000.0
916,Rafael Pólit,Ecuador,Stub,17511000.0
917,Gonzalo Córdova,Ecuador,Stub,17511000.0
918,Alberto Guerrero Martínez,Ecuador,Stub,17511000.0
919,Andrés Córdova,Ecuador,Stub,17511000.0
920,Ramón Castro Jijón,Ecuador,Stub,17511000.0
921,Manuel Antonio Ortiz,Paraguay,Stub,7255000.0
922,Carlos Loizaga,Paraguay,Stub,7255000.0
923,José Díaz de Bedoya,Paraguay,Stub,7255000.0
924,Patricio Escobar,Paraguay,Start,7255000.0
925,Juan Gualberto González,Paraguay,Start,7255000.0
926,Baron Alexander von Bach,Austria,Start,8914000.0
927,Jaime Zea,Peru,Stub,32824000.0
928,Georg Bernhard Bilfinger,Germany,Start,83300000.0
929,Fabio Castillo Figueroa,El Salvador,Stub,6481000.0
930,George Little (Manitoba politician),Canada,Stub,38190000.0
931,Eugène Diomi Ndongala Nzomambu,"Congo, Dem. Rep. of",Stub,
932,Landing Badji,Senegal,Stub,16744000.0
933,Omar Gassama,Gambia,Stub,2417000.0
934,Krešimir Ćosić (politician),Croatia,Stub,4020000.0
935,Manuel Mora,Costa Rica,Stub,5111000.0
936,François Biltgen,Luxembourg,Start,632000.0
937,An Chang-ryon,"Korea, South",Stub,51781000.0
938,An Myong-ok,"Korea, South",Stub,51781000.0
939,An Yong-hyon,"Korea, South",Stub,51781000.0
940,Paek Se-yun,"Korea, South",Stub,51781000.0
941,Pak Chang-sik,"Korea, South",Stub,51781000.0
942,Paek Se-bong,"Korea, South",Stub,51781000.0
943,President of the General Council of Martinique,Martinique,Stub,356000.0
944,Tom Høyem,Denmark,Stub,5829000.0
945,Othman I,Chad,Stub,16877000.0
